p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
9.0820847547415e-10,0.275470746065135,0.506,0.52,1.8164169509483e-06,Type3,Epb41l4b
9.35136485954319e-10,0.566478080242255,0.561,0.627,1.87027297190864e-06,Type3,Iqgap2
1.13170630010466e-09,0.439799631658089,0.685,0.739,2.26341260020932e-06,Type3,Tgfb2
1.74178277941792e-09,0.46742187863862,0.686,0.706,3.48356555883584e-06,Type3,Sdk2
1.8701616568098e-09,0.336550868262783,0.69,0.693,3.7403233136196e-06,Type3,Pcdh17
4.98993590432038e-09,0.259302244842758,0.625,0.614,9.97987180864077e-06,Type3,Grm1
1.77202693622935e-08,0.35223151109021,0.694,0.718,3.5440538724587e-05,Type3,Dkk3
1.83053527606307e-08,0.531846719057372,0.615,0.663,3.66107055212614e-05,Type3,Nnat
2.89127854092151e-08,0.251164357737237,0.631,0.613,5.78255708184302e-05,Type3,Slc35f3
6.19124809630303e-08,0.279830434425471,0.63,0.637,0.000123824961926061,Type3,Fnbp1
8.05570595055182e-08,0.3584426565426,0.578,0.626,0.000161114119011037,Type3,Fstl4
1.63052045035671e-07,0.507874137311346,0.549,0.626,0.000326104090071341,Type3,Car4
4.09649768550843e-07,0.279100517511291,0.691,0.727,0.000819299537101687,Type3,Dab2ip
4.37947077460621e-07,0.34040790126011,0.682,0.717,0.000875894154921241,Type3,D430041D05Rik
6.22083298242032e-07,0.390000333147646,0.879,0.915,0.00124416659648406,Type3,Col11a1
1.02630805300289e-06,0.277894123377562,0.749,0.788,0.00205261610600579,Type3,Pdcd4
2.19746051537061e-06,0.364480219903267,0.637,0.678,0.00439492103074122,Type3,Dcc
9.93904761975999e-06,0.443081560047328,0.55,0.626,0.01987809523952,Type3,Bicc1
1.5503873052962e-05,0.392686065007769,0.6,0.644,0.0310077461059241,Type3,Sema3e
3.3774661364484e-05,0.292921753831971,0.606,0.657,0.067549322728968,Type3,Dlg5
4.65287998163871e-05,0.310201951201008,0.629,0.682,0.0930575996327743,Type3,Armh4
4.86217741810073e-05,0.277249842152991,0.639,0.663,0.0972435483620146,Type3,Dclk2
7.28985165778636e-05,0.361775190820635,0.545,0.622,0.145797033155727,Type3,Dcx
8.35244344621276e-05,0.403318039032208,0.58,0.658,0.167048868924255,Type3,Vwa5b2
9.34526516286862e-05,0.341225669655207,0.665,0.731,0.186905303257372,Type3,Klf3
0.000133402387256992,0.397608694201633,0.544,0.62,0.266804774513984,Type3,Adgra1
0.000935895994363513,0.272442601328151,0.541,0.569,1,Type3,Ppp2r3a
0.00245546664664247,0.377559311315186,0.598,0.677,1,Type3,Evc2
0.00350415159196785,0.250141697786275,0.563,0.607,1,Type3,D3Ertd751e
0.00682639528787323,0.303043008008665,0.646,0.706,1,Type3,Hspa12a
0.00744473344281794,0.301195134725673,0.621,0.715,1,Type3,Ackr1
1.89302601267045e-246,1.71813320985262,0.912,0.603,3.78605202534091e-243,Type4,C1ql3
1.05410509313099e-241,0.697898293607103,0.872,0.392,2.10821018626197e-238,Type4,Cntn5
9.68378672523712e-224,0.572962643317751,0.872,0.489,1.93675734504742e-220,Type4,Stxbp6
1.20729715558227e-220,0.786123163633036,0.89,0.552,2.41459431116453e-217,Type4,Cntnap5a
1.55410979544799e-205,0.271592697376051,0.802,0.261,3.10821959089598e-202,Type4,Pcsk5
7.17561512389771e-198,0.594185956118943,0.877,0.603,1.43512302477954e-194,Type4,Lingo2
1.20103506056504e-195,0.59314943468171,0.855,0.45,2.40207012113009e-192,Type4,Prox1
1.71881606934394e-195,0.473560041501743,0.861,0.533,3.43763213868787e-192,Type4,Rasl10a
