"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rabgef1",9.25180368028251e-08,0.826051439944013,0.25,0.158,0.00169594813263259
"Ppp2r3a",1.00418880427717e-07,0.416245676163241,0.539,0.42,0.00184077849712049
"Grb2",1.00854933408802e-07,0.568511365138615,0.39,0.284,0.00184877178431675
"4932438A13Rik",1.101853696252e-07,0.39972256706825,0.578,0.466,0.00201980801059954
"Mbp",1.14617730245798e-07,-1.21593400218161,0.244,0.347,0.00210105761313572
"Tafa5",1.40933765463838e-07,0.362447579260721,0.625,0.495,0.00258345685471762
"Actb",1.46838577055687e-07,-0.532444590383566,0.832,0.871,0.00269169795600779
"Ppib",1.52815643076504e-07,0.253704740254493,0.527,0.41,0.0028012635532354
"Galntl6",1.63251505944443e-07,-0.688709012316979,0.438,0.552,0.00299256335546758
"Lrtm1",1.68168507893314e-07,0.495945115590978,0.495,0.373,0.00308269691819234
"Gria2",1.7593880178436e-07,0.169291267630869,0.98,0.944,0.00322513417550911
"Tmem117",2.10588613415568e-07,0.511520721054937,0.435,0.323,0.00386029987252077
"Sfi1",2.14063987674859e-07,0.48135299608707,0.308,0.204,0.00392400695806785
"Odf2",2.3850987191542e-07,0.406504159863251,0.516,0.404,0.00437212446208156
"Ndrg4",2.50745122005989e-07,0.390116381144517,0.694,0.558,0.00459640883149179
"Lpp",2.57805449387814e-07,0.348235902283279,0.568,0.437,0.00472583169272802
"Cntnap5b",2.6464408023245e-07,0.648087045388541,0.506,0.395,0.00485119063474105
"Ints10",2.85917068514733e-07,0.450002129572546,0.387,0.286,0.00524114578294358
"Luzp1",2.98688871288325e-07,0.351426786497229,0.55,0.415,0.00547526569958629
"Gabarapl2",3.3984466792043e-07,-0.817951678449781,0.196,0.307,0.00622969260764941
"Ggact",3.42125847463345e-07,0.45058124667717,0.48,0.359,0.00627150890985057
"Hunk",3.48125129668653e-07,0.432143319177306,0.419,0.304,0.00638148175195609
"Tmem132b",3.5647628512774e-07,0.243561804083228,0.649,0.509,0.00653456678267661
"Angpt1",3.91687141787855e-07,0.404039785479641,0.265,0.167,0.00718001699611316
"Gabbr1",4.23756552395044e-07,0.259928290522158,0.595,0.475,0.00776788136195355
"Dnm1l",4.27156144408509e-07,0.309723006033878,0.518,0.399,0.00783019928315237
"Adcy2",4.39185494132238e-07,-0.545271751013585,0.415,0.531,0.00805070929293805
"Itsn1",4.44824042218366e-07,0.267187498749956,0.576,0.443,0.00815406951790486
"Ice1",4.49136403016728e-07,0.439095260014884,0.431,0.322,0.00823311940369965
"Dpf3",4.53602317520008e-07,0.307007110040802,0.415,0.299,0.00831498408245927
"Kirrel3",4.64344584723681e-07,-1.01243242133004,0.33,0.407,0.0085119005825698
"Slc17a7",4.87425785037942e-07,0.240685287877859,0.786,0.607,0.00893500206553051
"Tmem63b",5.09716122287725e-07,0.511347376968703,0.447,0.333,0.00934360623765629
"Tmtc1",5.70205222382908e-07,0.294607914431579,0.458,0.34,0.0104524319315011
"Slmap",5.77843176352557e-07,0.556789665482,0.454,0.343,0.0105924432657187
"Clmn",6.02501158716578e-07,0.336213810314206,0.471,0.353,0.0110444487404336
"Rbm26",6.11458511085162e-07,0.299812009532782,0.652,0.531,0.0112086459667021
"Sash1",6.12591709170433e-07,0.382205227644908,0.394,0.301,0.0112294186208032
"Srsf2",6.21429204658497e-07,-0.905393324696591,0.256,0.361,0.0113914187505949
"Slc6a6",6.285515319295e-07,0.295919914692642,0.563,0.439,0.0115219781317997
"Rab30",6.92116448682001e-07,0.441366894584471,0.422,0.326,0.0126871866207898
"Bbs7",7.35719124663986e-07,0.571853105639961,0.251,0.164,0.0134864672742155
"Gpr155",7.90398523316159e-07,0.300854955589974,0.393,0.286,0.0144887953309085
"Gpc5",8.00052426908005e-07,0.936312757655772,0.434,0.326,0.0146657610376506
"Epha3",8.35024557342825e-07,0.230736308235361,0.638,0.504,0.0153068351606513
"Prkca",8.82200454826226e-07,0.269567506622041,0.791,0.67,0.0161716165374195
"4430402I18Rik",8.85469397699331e-07,0.456519546477196,0.454,0.339,0.0162315395292264
"Nt5c2",9.05624071966718e-07,0.314861315932732,0.492,0.375,0.0166009948632219
"Crtac1",9.28963742069797e-07,-0.791217535776665,0.16,0.26,0.0170288343558815
"Parp8",9.380064149881e-07,-0.65259146728003,0.254,0.371,0.0171945955931469
"Strbp",9.86215456358301e-07,0.247108179876501,0.808,0.72,0.018078315530504
"Cdkl5",9.94809504072293e-07,0.362644419510744,0.558,0.434,0.0182358530191492
