"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Trhde",4.36064526010918e-93,-0.582856401452052,0.5,0.772,6.43456814581711e-89
"Pid1",2.26074883610911e-92,-0.595089053996959,0.237,0.518,3.33596098256261e-88
"B3gat1",8.39321650130293e-91,-0.572297835849336,0.161,0.412,1.23850302693226e-86
"Fkbp1a",5.71216837756174e-90,-0.562128840008363,0.479,0.747,8.4288756579301e-86
"Myo18a",1.16023503056152e-89,-0.580030086577995,0.475,0.731,1.71204281109658e-85
"Kcnb2",1.67182811306973e-89,0.808625985136474,0.38,0.176,2.46694956364569e-85
"Ly6h",2.59540823532932e-89,-0.464565148308173,0.818,0.937,3.82978439205195e-85
"Arhgap20",3.33189838591731e-89,-0.558663334399574,0.073,0.277,4.91654925825958e-85
"Nefm",1.84761917023266e-88,-0.608856955322537,0.076,0.28,2.72634684759532e-84
"Zfhx4",3.06638890194906e-88,0.925446567241866,0.363,0.163,4.52476346371603e-84
"Prpf4b",4.56372155427781e-88,-0.342098205560474,0.974,0.988,6.73422752549234e-84
"Mcf2l",7.72704705011635e-88,-0.580147474579668,0.284,0.562,1.14020306271517e-83
"Lyst",9.22165509957771e-88,0.72682009221353,0.639,0.497,1.36074742649369e-83
"Mctp1",1.00629303673164e-87,0.5610175477158,0.849,0.789,1.4848860050012e-83
"Sorcs2",1.15598490156745e-86,0.741227970481216,0.588,0.411,1.70577132075292e-82
"Igsf9b",1.69008280405983e-86,0.715400708013435,0.549,0.356,2.49388618567069e-82
"Asap2",1.75514075242402e-86,0.78604993281318,0.326,0.128,2.58988569427689e-82
"Flna",8.56892471954795e-86,0.759753988024411,0.639,0.486,1.2644305316165e-81
"Lynx1",2.4826232126452e-85,-0.522581441135503,0.661,0.857,3.66335881257926e-81
"Nfia",2.89901130207648e-85,0.84446007895058,0.552,0.375,4.27778107734406e-81
"Dgkb",8.86944640147362e-85,-0.53954686165192,0.08,0.282,1.30877551100145e-80
"Kcnc1",1.12326081925979e-84,-0.602448674323931,0.352,0.623,1.65748366489975e-80
"Rnps1",2.51416125496001e-84,-0.488493329799575,0.631,0.846,3.70989634781899e-80
"Cdk14",7.87673083908045e-84,-0.458444571796257,0.75,0.903,1.16229040261471e-79
"Tlk1",1.55955169326674e-83,0.790754021303663,0.485,0.302,2.30127447858441e-79
